정류소아이디,모바일아이디,정류소명,영문명,시도,구군,동,경도,위도,경유노선수,경유노선
7041022500,998,상인현대맨션건너,Sangin Hyundai Mansion,대구광역시,달서구,상인2동,128.5388417,35.81762167,7,649+653+706+726+달서1+달서3+달서4-1
7041022700,999,상인초등학교앞,Sangin Elementary School,대구광역시,달서구,상인2동,128.5417767,35.81443833,5,649+706+726+달서3+달서4-1
7041022800,2570,상인동서타운앞,Sangin Dongseo Town,대구광역시,달서구,상인1동,128.5438805,35.81306928,5,649+706+726+달서3+달서4
7041022900,1406,보성산호타운앞,Boseong Sanho Town,대구광역시,달서구,상인2동,128.5438683,35.81195667,2,356+726
7041023000,1405,상인역모아엘가파크뷰아파트앞,Sangin Moaelgaa Parkview Apts.,대구광역시,달서구,상인2동,128.5433569,35.81164293,2,356+726
7041023100,9280,대동시장1,Daedong Market,대구광역시,달서구,상인2동,128.5383802,35.8113711,2,356+726
7041023200,1403,대동시장2,Daedong Market,대구광역시,달서구,상인2동,128.537725,35.81136,2,356+726
7041023300,1000,상인동화아이위시아파트앞,Sangin Dongwha iwish Apt,대구광역시,달서구,상인2동,128.5459628,35.81076325,3,356+649+706
7041023400,982,상인동화아이위시아파트건너,Sangin Dongwha iwish Apt,대구광역시,달서구,상인3동,128.5467623,35.81031247,3,356+649+706
7041023500,1401,월곡네거리,Wolgok (4) Junction,대구광역시,달서구,상인2동,128.547935,35.80883667,1,649
7041023600,983,월배농협대덕지점건너,Wolbae Nonghyup Daedeok Branch,대구광역시,달서구,상인3동,128.54544,35.81270167,2,달서3+달서4-1
7041023700,1408,상인한서타운앞,Sangin Hanseo Town,대구광역시,달서구,상인1동,128.5470483,35.81385,2,달서3+달서4
7041023800,1414,상인청구타운건너,Sangin Cheonggu Town,대구광역시,달서구,상인1동,128.5463517,35.81593667,2,653+달서1
7041023900,1413,상인청구타운앞,Sangin Cheonggu Town,대구광역시,달서구,상인1동,128.54641,35.81572833,2,653+달서1
7041024000,1412,월촌초등학교앞,Wolchon Elementary School,대구광역시,달서구,상인1동,128.5438533,35.81555333,2,653+달서1
